Metric,is_in journal,is_top_red,is_top_white
Precision@10,0.07050063371356147,0.04990494296577947,0.017743979721166033
MRR,0.1761941674163338,0.1303331107896595,0.04982905660696977
NDCG@10,0.07050063371356147,0.04990494296577947,0.017743979721166033
Context@5,0.3061821160704161,0.22583186227882157,0.08562678326257422
