Metric,Premium_Wines,Value_Wines,Food_Pairing_Meat,Food_Pairing_Seafood,Food_Pairing_Spicy,Food_Pairing_Dessert,Flavor_Profile_Oak,Flavor_Profile_Spice
Precision@10,0.15564005069708492,0.0953422053231939,0.21153358681875795,0.1832065906210393,0.019898605830164763,0.017332065906210396,0.04397972116603296,0.05611533586818758
MRR,0.294324194477372,0.19481342236275032,0.34035200262918514,0.31200323048879297,0.05449106302783542,0.04858307504773014,0.1133936082985419,0.13874122186922946
NDCG@10,0.15564005069708492,0.0953422053231939,0.21153358681875795,0.1832065906210393,0.019898605830164763,0.017332065906210396,0.04397972116603296,0.05611533586818758
Context@5,0.4907810609761366,0.3258831255828055,0.513680535823814,0.4896855477347545,0.09393388862576331,0.08350458071591818,0.19649152990617053,0.24059224885806446
